Time(us),Value
20,0.28224
20,-1.5136
20,-1.91785
19,-0.558831
19,1.31397
20,1.97872
20,0.824237
20,-1.08804
18,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
17,0
538,0.254376
538,2.42186
537,8.57804
534,18.7464
539,29.0929
539,37.6548
536,44.7249
536,57.3146
536,77.395
542,105.176
9,1
9,2
8,3
8,4
8,5
8,6
8,7
8,8
8,9
8,10
8,1
8,2
8,3
8,4
8,5
8,6
8,7
8,8
8,9
8,10
8,1
8,2
8,3
8,4
8,5
8,6
8,7
8,8
8,9
8,10
256,2
254,2
253,2
259,2
254,1
255,1
253,2
256,2
255,0
254,-9
8,1
8,2
8,3
8,4
8,5
8,6
8,7
8,8
8,9
8,10
8,1
9,1
8,1
8,1
9,1
9,1
8,1
8,1
8,1
8,1
381,0
378,0
379,0
378,0
379,0
378,0
378,0
381,0
378,0
380,0
586,0
589,0
603,0
609,0
601,0
591,0
595,0
594,0
590,0
592,0
17,0
17,0
17,0
17,0
16,0
17,0
16,0
17,0
17,0
17,0
58,1.9093
57,1.2432
58,2.72058
58,4.98936
60,4.45598
59,5.46343
58,7.99061
58,7.7121
58,8.24901
59,10.9129
23,1
23,1
23,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
8,1
8,2
8,3
8,4
8,5
8,6
8,7
8,8
9,9
8,10
72,0
110,0
110,0
109,0
110,0
110,0
110,0
111,0
110,0
110,0
1098,0.841471
1092,0.909297
1087,0.14112
1083,-0.756802
1086,-0.958924
1099,-0.279415
1083,0.656987
1088,0.989358
1085,0.412118
1090,-0.830975
12,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
26,1
27,0
26,0
26,0
26,0
26,0
26,0
27,0
26,1
26,0
75,0
82,0
81,0
81,0
82,0
82,0
82,0
82,0
81,0
83,0
1103,-3
1119,-5
1113,-7
1123,-9
1118,-11
1103,-13
1103,-15
1109,-17
1112,-19
1112,-21
36,0
35,0
34,0
34,0
34,0
33,0
34,0
34,0
34,0
33,0
8,1
8,2
8,3
8,4
8,5
8,6
8,7
8,8
8,9
8,10
683,0
690,0
695,0
688,0
687,0
705,0
693,0
698,0
698,0
695,0
837,0
828,0
835,0
823,0
833,0
828,0
825,0
844,0
829,0
825,0
233,-0
231,-0
230,-0
230,-0
231,-0
230,-0
233,-0
233,-0
236,-0
231,-0
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
29,1
23,-3
23,-5
23,-7
23,-9
24,-11
23,-13
23,-15
23,-17
23,-19
23,-21
14,0
14,0
14,0
14,0
14,0
14,0
15,0
14,0
14,0
15,0
211,-0
207,-0
210,-0
211,-0
210,-0
210,-0
212,-0
237,-0
219,-0
320,-0
669,0.753072
666,0.177782
666,-0.576564
668,-0.840236
667,-0.655751
667,0.044564
667,0.699422
666,0.834785
667,0.515685
664,-0.262543
11,0.841471
11,0.909297
11,0.14112
11,-0.756802
11,-0.958924
11,-0.279415
11,0.656987
11,0.989358
11,0.412118
11,-0.544021
42,0.841471
42,0.841471
42,0.841471
43,0.841471
42,0.841471
42,0.841471
43,0.841471
42,0.841471
43,0.841471
55,0.841471
11,0.841471
11,0.841471
10,0.841471
10,0.841471
10,0.841471
10,0.841471
10,0.841471
11,0.841471
10,0.841471
10,0.841471
